UID,HOTKEY,COLDKEY,STAKE(τ),RANK,TRUST,CONSENSUS,INCENTIVE,DIVIDENDS,EMISSION(ρ),VTRUST
0,5G79ouoj5FWjZBLtUpnTtAuPJ2H6keVedFZ8WBsbFW9Sroui,5GgxpcK2aM81iUhHvvkr8bmxeJ7esRbohTr88eRtt9SJB7Pn,0.8384381,0.0037994965,0.9639887,0.0046692607,0.0037994965,0.0,0.010525743,0.0
1,5CCdnLK4p2UR4aBe6sKFCLf3TTGap68NcztD9MCr4cyg2QwY,5FvQvuLzkbd2ThLwUsNoKHiuUoxuBizUiK5BQ9Ev6PXNNBRU,0.8788821,0.0036621653,0.88722056,0.003463798,0.0036621653,0.0,0.01014852,0.0
2,5HEo565WAy4Dbq3Sv271SAi7syBSofyfhhwRNjFNSM2gP9M2,5E9fVY1jexCNVMjd2rdBsAxeamFGEMfzHcyTn2fHgdHeYc5p,532629.1,0.0,0.0,0.0,0.0,0.09279011,0.25657064,0.90510416
3,5GP7c3fFazW9GXK8Up3qgu2DJBk8inu4aK9TZy3RuoSWVCMi,5DkwfxC9mZTTCsRUt6nrnwQEWVrhsmY13SBRparj6cpAVxVY,248651.98,0.0,0.0,0.0,0.0,0.05415427,0.1497223,0.98150605
4,5F27Eqz2PhyMtGMEce898x31DokNqRVxkm5AhDDe6rDGNvoY,5GYXZBZoFA74nzAGg4R9omd2SfCDHiGufETtrLso6BRzv2p4,52078.35,0.0,0.0,0.0,0.0,0.010528726,0.029128117,0.9506523
5,5ChjBPg6jTgh8dhr6kB6wXQ4DZFT7egLoLQ29xPD8JfCiwbE,5ECnjvHY4oGEyWqsuJjSYTiUJGP2wZE1bsJhnrnsUvfJ94Wb,5.108456,0.0050812545,0.97825587,0.005416953,0.0050812545,0.0,0.014077688,0.0
6,5EsMDdaUsTkxrxtmcFvNoKyVgWxUHS8VKwukd1APCnhZS7Fx,5FnyyenMHQHyJG6XVCXZRPTGe9VDWko9yxxZNw2RHVjXMgHE,0.8308079,0.004745556,0.9017014,0.00468452,0.004745556,0.0,0.013121419,0.0
7,5G1MTNAPBMKLTQZZjfXrG3ZsQ4FFZt48HognFPa75E7y8N6v,5EnL9GXS6v6mcDjnnmhqfHtVJnyLyVSQdAJWLinDzC761zc3,4.117595,0.0042877854,0.921767,0.0039368276,0.0042877854,0.0,0.011886051,0.0
8,5GYWi2sGWB78oSTNuNYnnTRAKUUEseHVEoRuwXA5HfKcgtxe,5EcTdSTwQMuYhmGPVvympvJsdbeqRqDfYL4sUgrYx4iiAZNX,1.4617213,0.0029297322,0.81893647,0.0031738766,0.0029297322,0.0,0.008104554,0.0
9,5DUEK6BmPdQ1xQ126j4yyoGdxzWowD724UoMAotqEJutCndq,5DqQbdNdPVRvrUtkfMUnqnhk5PMHYQfKNfNAXdttHSwsecPT,4.079415,0.0033722438,0.9037766,0.0033112078,0.0033722438,0.0,0.009361078,0.0
10,5G1NjW9YhXLadMWajvTkfcJy6up3yH2q1YzMXDTi6ijanChe,5DyMLUKuc6T3QFAXKd3w6dTcxmcH1WBZ1gDrRwJAnPf7N28w,107855.32,0.0,0.0,0.0,0.0,0.022049287,0.06096321,0.9500267
11,5HbScNssaEfioJHXjcXdpyqo1AKnYjymidGF8opcF9rTFZdT,5F4XcaiEBkE3ARx2kG29KJ8e94nFfUZQYC4c7zfticastxiD,50077.863,0.0,0.0,0.0,0.0,0.010208285,0.028227402,0.9494774
12,5EHh7kL6tYm7udrLGnZvRTDATrXYxHzsQ1h48d2iaYV8zvL9,5CfLyPQRiU6HQKWXrUzGEKkQhbkP774XqZNFmtCjH72nvGp7,4.8334217,0.0036469062,0.85789275,0.003418021,0.0036469062,0.0,0.010101491,0.0
13,5GpyUYkG9QkCtx55YqqNHz8onCdfELJBY2vKmnvngCdNZkWA,5G3oBJSn6zko3Vd1ZhFvJGvEvJe27wNXMhSciNFUYAGhDpop,4.6555457,0.004592966,0.8816663,0.0044403756,0.004592966,0.0,0.012715423,0.0
14,5EbjJMW5mJsALXPBaRLak6e79mg3ii1EQjtDAN1ttNvLUs3Z,5DDGBhzAgoD5CazTVSDByrX9HivRnX6TuCxDCyvczPdLNE8a,1.5645164,0.0037689784,0.90109104,0.003494316,0.0037689784,0.0,0.010443896,0.0
15,5EXZ75uTUkLtCwvFY56ETcQrKqbMC8biWBPT2YD6dqAe3uzV,5Hia6fV5yfaUyy7brXuK3ALABejH1Wc3TgJnAEKTTBkCq5pG,3.9801452,0.0041962313,0.87129015,0.003982605,0.0041962313,0.0,0.011630262,0.0
16,5FFApaS75bv5pJHfAp2FVLBj9ZaXuFDjEypsaBNc1wCfe52v,5GZSAgaVGQqegjhEkxpJjpSVLVmNnE2vx2PFLzr7kBBMKpGQ,325238.34,0.0,0.0,0.0,0.0,0.064835586,0.17924716,0.9156481
17,5Hp18g9P8hLGKp9W3ZDr4bvJwba6b6bY3P2u3VdYf8yMR8FM,5Fsaw8RJ1ptAf4kikHk6d8PVHS7vEd4whjccrFKKrCZ8XFRT,150330.72,0.0,0.0,0.0,0.0,0.029358359,0.0811841,0.9312123
18,5HK5tp6t2S59DywmHRWPBVJeJ86T61KjurYqeooqj8sREpeN,5CAwB3dSiMC5jJfpvVU47zT3Gyz5ZDoiyHMaYZUuNs5hFh2P,322589.44,0.0,0.0,0.0,0.0,0.06338598,0.17525478,0.9148241
19,5DXrTSRsEdRTnagymergB1fSpnhFYid4u5rXE2u2i6F7GhT4,5DeXYEcxU4eE6KxZBJXyDo9MxDejRGLWj3eBtwuL2GG31cAF,3.4855094,0.0036011292,0.90101475,0.0037384604,0.0036011292,0.0,0.009968407,0.0
20,5DZX8UfhUXeKNgrQZjt5mVpMHmDaMeU7tNMpA4NAp8p93s7t,5GWtpH4gpdtbJZZTzhA5jsV35kHpTL23NKh1k7HsJJyupUQD,5.2606053,0.004562448,0.9265278,0.0044098576,0.004562448,0.0,0.012631232,0.0
21,5GKH9FPPnWSUoeeTJp19wVtd84XqFW4pyK2ijV2GsFbhTrP1,5GcCZ2BPXBjgG88tXJCEtkbdg2hNrPbL4EFfbiVRvBZdSQDC,1198859.5,0.0,0.0,0.0,0.0,0.21052873,0.5820467,0.8542611
22,5F1B26ijs14JJBA1sVCHtiVdPYEJeQvXDnGk8EzxofpgX8ri,5GHRrTtz95yaWmhUyGWt7RpvwT1dom4xkPvyLeAbfjm7xkQ9,0.55713624,0.004791333,0.8996719,0.0044556344,0.004791333,0.0,0.013266511,0.0
23,5Hn5JdWziQoD8cnn6uUdZVscBDQHS32KTb5WE7a3MDA3eAwF,5Dqvq9yTYsu8um3PfW2cb547cVeanLgrANvcxNJxQCdHWVfp,0.21510993,0.005584802,0.8332799,0.005386435,0.005584802,0.0,0.015480305,0.0
24,5Fq7vnUm6732qNELfWHikd5EBoshpVFZNLCnMXHpTQqTwjEP,5G3oBJSn6zko3Vd1ZhFvJGvEvJe27wNXMhSciNFUYAGhDpop,0.1980258,0.0012054627,0.9508659,0.0014648661,0.0012054627,0.0,0.003358247,0.0
25,5CXRfP2ekFhe62r7q3vppRajJmGhTi7vwvb2yr79jveZ282w,5CMEwRYLefRmtJg7zzRyJtcXrQqmspr9B1r1nKySDReA37Z1,83161.734,0.0,0.0,0.0,0.0,0.01622034,0.044863343,0.9243763
26,5HNQURvmjjYhTSksi8Wfsw676b4owGwfLR2BFAQzG7H3HhYf,5Cyfk5Jjee6uCafjZyUUjtKd7Q4qh1yJ48Ts7bkT9xXaDqe1,25740.375,0.0,0.0,0.0,0.0,0.0051117726,0.014152046,0.918883
27,5ED6jwDECEmNvSp98R2qyEUPHDv9pi14E6n3TS8CicD6YfhL,5CrBAGHUxUdj91kJZw8FAqA2USvksttNFgcMbfSfmqPcTu8t,16850.77,0.0,0.0,0.0,0.0,0.0032501717,0.008993665,0.9456321
28,5DnrgLno99RRpe9qnHfMXRpaN8ToMP1hxyLRfyQv59dcG8DE,5H8t4xs2ZnCJ2NHLtw4PWWS6VihbEmSodZtxjX1TSuNUE5ZV,1.1098462,0.0039978637,0.919997,0.004180972,0.0039978637,0.0,0.011066219,0.0
29,5CmB8fhdCwyQfGePepWwN9poH2cQ3Ldmd1BmdDiC44q88WeT,5GZ5RDrKQEZ2gKebU2gnkAaKFT3GXKX9dQ8t8WmSagRQye9s,0.65423065,0.004028382,0.8691692,0.0037537194,0.004028382,0.0,0.011139134,0.0
30,5EA5TTNo7TTew9UeREB8bz9y1F3perxN7vCWPcWSFya8cQC2,5DeXYEcxU4eE6KxZBJXyDo9MxDejRGLWj3eBtwuL2GG31cAF,7.694186,0.005355917,0.9253376,0.005447471,0.005355917,0.0,0.014809441,0.0
31,5ChYQK7YCnAJmmRRZ9nT1jg3zyQk5uyWdzAfyRDiiZ4NNxXn,5D5KKf9Bp3ZvwpVbFFHJ5kdJ9rrNye4L3kzPvJ4yC5U9w7d6,1.7181693,0.004104677,0.94468606,0.0043488215,0.004104677,0.0,0.011350456,0.0
32,5DS3byVWseX3mU6xEZyi1C61J9PABQYBVUoiYEPG7VuGCKZm,5Fe3PrFSzg315swr5sq6q2kmZLSodpYj9qMjZHcgpw2gMm4s,0.56156844,0.009704738,0.88383305,0.010238804,0.009704738,0.0,0.026849588,0.0
33,5Cqtsw39kDp87BWi3YckaxbsawBCSwjsZ6mJDqVuKDeFjbmA,5C7y6KWb3KTHemA7pcEJCCZUqgNYZW3rRoBqRkJSaAd5gwX3,0.00434833,0.0026855879,0.9021744,0.0032501717,0.0026855879,0.0,0.007427319,0.0
34,5Et6ta885QrCUCpxzYExT6r9CaRhPeDKaADKjdz4H7DzQuzo,5EU6kgatvHu5ic6KhrofncQWbBJKoumD5rVhM9pnSMVQhv7F,0.88303745,0.0044098576,0.8791333,0.0042267493,0.0044098576,0.0,0.012220749,0.0
35,5DPYi5satNDQqp9CHff5kDbh2Z1CcQhrQ11hYGRgzfTvNZmS,5GZFvifQNfXvGLy6h1bHkZSHnwwNJ27Cxf2Msr5kGnNxkkZU,1.398675,0.0037994965,0.8990921,0.0038452735,0.0037994965,0.0,0.010535773,0.0
36,5FTphgKJ8J3ggSUT92t9fcNJ5zGeFpt8SM6zyMLzHph2LcNm,5CS5zYBBqzHtGQM9htP26csz1r72eY8Q3suZbX6rxS27xmpH,0.004200326,0.00045777066,0.6223697,0.00057984283,0.00045777066,0.0,0.001293428,0.0
37,5GefQL9rHiHA5NWLqr5aCJVXrd6t1zJNo664Nu1EtsbdULHJ,5CvgZBHBmBrPrDUVxMYhNw9azgFHPssiidLfDKtPsuV57dcY,0.23637418,0.002838178,0.8307317,0.0032959487,0.002838178,0.0,0.007860637,0.0
38,5HSmchMPBc3ncSDjMJy75DA4mzcGHrRBfdvoaLgrfDbC5ddi,5Hia6fV5yfaUyy7brXuK3ALABejH1Wc3TgJnAEKTTBkCq5pG,6.7326546,0.004821851,0.8623789,0.004654002,0.004821851,0.0,0.013362943,0.0
39,5DaJZqeAu7o6HUDEWPw4EudDP3BK3c2sqDedPoUpC3wXHFGc,5CvgZBHBmBrPrDUVxMYhNw9azgFHPssiidLfDKtPsuV57dcY,0.4908593,0.002853437,0.9240864,0.0032349126,0.002853437,0.0,0.007889945,0.0
40,5CaarR6PYzfDE7a3La4MD3RaZ18toZzVWmqL4wNs6GvF2gWC,5FBfxBUXKdKrgENxvMjgwsWYT23FeVSAYZRqw5symBnGCpSK,0.8763144,0.003555352,0.93797207,0.003494316,0.003555352,0.0,0.00984483,0.0
41,5F4tQyWrhfGVcNhoqeiNsR6KjD4wMZ2kfhLj4oHYuyHbZAc3,5HBtpwxuGNL1gwzwomwR7sjwUt8WXYSuWcLYN6f9KpTZkP4k,1003624.4,0.0,0.0,0.0,0.0,0.18033113,0.4985627,0.84011596
42,5Ek8HD3yx1Zof8g7M2amjt6ubQrSqGQZVRvmv4WbAnqCo3dJ,5Gy917XzDSmZJrwVa7HvRGTRmuveMYxySX8y4qCoTBecUCeJ,3.4440768,0.0030670634,0.9107042,0.0031891356,0.0030670634,0.0,0.008488628,0.0
43,5HZJyj4JrjZZbYNMNYeYuKYZwyT96qQLqR7E1AptwY5geJXe,5CPU17Hm1mZZucDhNscjjj7Fxyfd2AmmSkJryTJR8tuJYTY9,6.0699325,0.0044708936,0.8820325,0.0043183034,0.0044708936,0.0,0.012394329,0.0
44,5EPYfJLkK3tiZRWYtPB1SP9R8ek1HoZuWbsTbYC6QcwjidmA,5Ces4QuQ7PdVvhPawbEtnyaXTqWdwFQvkVqxcFCDNLJAaEYS,1.2656763,0.0042572673,0.9016556,0.0044708936,0.0042572673,0.0,0.011781565,0.0
45,5Hn7RHRJj1qt67MEZakXZNfoDRLNPvgLmTbyNmxAzA2GRTmN,5F229eMUWRzCXhqjR6fsrUgKQe9QpzmdbYEhYAi8P5QU59ie,1.6617309,0.0038300145,0.8137636,0.0036163882,0.0038300145,0.0,0.010618314,0.0
46,5G68g83f65rd1e58hwWGnrDvSafq5JNJhBaaFXNtLjmrVrU5,5FxnL4ADRw9Cv5D1wGfcr4TseHRKHJyj7v3TpB5vMjApocah,3.7081861,0.0036621653,0.87222093,0.0037994965,0.0036621653,0.0,0.010151867,0.0
47,5HNWHKquJsbLZn4faWFLRg5WL4anLft3ByAphEyXDSdFqQeB,5H9PW5y1qg4AJkKgo9qeEfjMEDnFih4koNq9tjWDQqUgXDmQ,1.3431529,0.003982605,0.8931411,0.0038452735,0.003982605,0.0,0.011047611,0.0
48,5EDDfemCuzLN7HseyfFu3WDbwbBu5znxvzwUTE6cnCycNHhp,5Dqvq9yTYsu8um3PfW2cb547cVeanLgrANvcxNJxQCdHWVfp,0.21768323,0.005416953,0.81252766,0.0051575494,0.005416953,0.0,0.01499866,0.0
49,5DhtJyRn5xkoSdhcmbrRjFx6B4wSTYVsSjTyjPPSYCA169Tw,5GZFvifQNfXvGLy6h1bHkZSHnwwNJ27Cxf2Msr5kGnNxkkZU,1.4819175,0.0049591823,0.99282825,0.0051728087,0.0049591823,0.0,0.013719944,0.0
50,5DvTpiniW9s3APmHRYn8FroUWyfnLtrsid5Mtn5EwMXHN2ed,5G1KeLg1rda5kBZ9pWVnpAe3y4RwRRphcVxuY5mukLFStJhj,199057.6,0.0,0.0,0.0,0.0,0.03854429,0.10659853,0.9485008
51,5GFBHzwC9cTFJUUPbeymVE7idDruA1ac7ScyJXnY1eJAK5Hb,5ECDXPxAXUQJJNsuvQpRK1Jv9WXwoqBMfMdBa1awKRkRZaj1,0.8903644,0.0033875029,0.8680552,0.0031738766,0.0033875029,0.0,0.009393675,0.0
52,5Cvvq9hSFDPZ1eug5RshE1optyXcCArxfgTJyR4NDYGzvFfR,5GWtpH4gpdtbJZZTzhA5jsV35kHpTL23NKh1k7HsJJyupUQD,2.6459954,0.00561532,0.94387734,0.005676356,0.00561532,0.0,0.015549139,0.0
53,5DJVFezX25WsBpuVtmZEMv9iR8jMB1FdYZXKEL7oftkyVAPW,5CSgq4q2sQkvGTQ5mJ5WEybuK3LPZoHAhavdpnyPkYV72Z7f,2.7851207,0.0033722438,0.88245976,0.0033875029,0.0033722438,0.0,0.0093303,0.0
54,5F3qrNc2nSsy4V5A9FyTTKrwVHhqvccCQGYX8mazpWdThyTo,5CS5zYBBqzHtGQM9htP26csz1r72eY8Q3suZbX6rxS27xmpH,0.44874942,0.0022735943,0.8761883,0.002822919,0.0022735943,0.0,0.006308526,0.0
55,5F1RrHqApbYyEddE3zp3uGmKiCj1X6DPdknzeuZahjHf4QEL,5GZFvifQNfXvGLy6h1bHkZSHnwwNJ27Cxf2Msr5kGnNxkkZU,1.2225969,0.0032654307,0.9298085,0.003524834,0.0032654307,0.0,0.009055753,0.0
56,5Hmh9htucmPuFNKP5JEmAELbXisuCFg6FfuXiJzYkjeg6ES1,5CvgZBHBmBrPrDUVxMYhNw9azgFHPssiidLfDKtPsuV57dcY,0.29713652,0.0023651484,0.91720456,0.0029755093,0.0023651484,0.0,0.006539217,0.0
57,5GnBjucxR9zL2hYJvmSuLvADAVJq46FP72SUzwaVSRYAJWbF,5CSgq4q2sQkvGTQ5mJ5WEybuK3LPZoHAhavdpnyPkYV72Z7f,3.9215972,0.004776074,0.92410165,0.0044403756,0.004776074,0.0,0.013225043,0.0
58,5CSg6ChtJEkLMnmUwUzT4EgANZbCLEdmGSoqpPC7KtdPaMde,5G6UKc9TuKvDiowbzBce5NRJWH2v88n2aPqZo7oGrdEfokkv,6.1953654,0.0044708936,0.92793167,0.0043488215,0.0044708936,0.0,0.012388706,0.0
59,5GYYnx3v5YcxrUfppTmYr2s7F3k2Cc2pftvaF2iCNhQzfCe4,5FnyyenMHQHyJG6XVCXZRPTGe9VDWko9yxxZNw2RHVjXMgHE,0.73418313,0.005493248,0.93992525,0.0056305793,0.005493248,0.0,0.01521065,0.0
60,5G6xaNjYG9Yvj45MsR6DCSvqYpzwzxRQDrLcG5XhmM9zzDbE,5FjL6fQ1kmHnvt1P6XJfR2wqRTuvUYMXTLp4L3BzinhXJayW,3.088945,0.0056916154,0.95600826,0.005706874,0.0056916154,0.0,0.015742846,0.0
61,5GnDyku1Bp5kLUzboMD7XMAj99UeUovWYC3LyGpRENK2QzJm,5CS5zYBBqzHtGQM9htP26csz1r72eY8Q3suZbX6rxS27xmpH,0.529123,0.004028382,0.99784845,0.0044861524,0.004028382,0.0,0.011167006,0.0
62,5GYTaaGaVD3XNLiP9otWFNQj8NMzcgakXaEFZj2T7eX3f9p6,5CM8BSvodbrRBk2KSizDt6DBUWcqxLb9QrE7LTHSkVW8P1dg,0.21348563,0.005447471,0.84831005,0.0049897004,0.005447471,0.0,0.015077085,0.0
63,5FhZAABuUU8LVyV2hbZCT5AwxbsR5AoEUB5zdP4zLbrhffFX,5GHRrTtz95yaWmhUyGWt7RpvwT1dom4xkPvyLeAbfjm7xkQ9,0.9368627,0.005676356,0.9548638,0.0057526515,0.005676356,0.0,0.01571885,0.0
64,5Ebivxg9Tvvm1iHH3i2q5KyBaUZrbvz9P43WggCLSbvJvDSn,5H3BH2RFcKjm11HJCJLfeDk8vaKh7f6ne7yMvVA7fu6tSLNF,4.721959,0.004730297,0.9255207,0.0043640803,0.004730297,0.0,0.013116425,0.0
65,5FyGG56wSeHeke2bEbM3Uee9ioRnoWuArdXVdCXhbZJe1pNd,5CfLyPQRiU6HQKWXrUzGEKkQhbkP774XqZNFmtCjH72nvGp7,4.5646486,0.004165713,0.8835889,0.0038605325,0.004165713,0.0,0.011531679,0.0
66,5HBgwRudkNmJq5eNipzPq3xxpbxp5iBP8MiRft2bmDFUpfbz,5DnaxMYFc3ko5rN2wcNPtNnHVHYeHR4WdBsaQpS3QHxxsLJb,0.9097976,0.002121004,0.8241703,0.0025635157,0.002121004,0.0,0.005898346,0.0
67,5DCwc67TqX616mkqUHrTqQi3msZtDHqzVwS8TeataD1Rj1ER,5CPU17Hm1mZZucDhNscjjj7Fxyfd2AmmSkJryTJR8tuJYTY9,0.8359185,0.0033417258,0.86616313,0.003479057,0.0033417258,0.0,0.009241203,0.0
68,5HMhdoNZkfwzDuocNjyLXRJ3GiMYkhTh7wvwbbijLeXe4HQ1,5GZFvifQNfXvGLy6h1bHkZSHnwwNJ27Cxf2Msr5kGnNxkkZU,1.2284337,0.003540093,0.8479591,0.003524834,0.003540093,0.0,0.009823349,0.0
69,5HTotMWs3VJVYdT6E4FBGTYJWkPgfikgfYT9v7GJExmtiQgL,5H3BH2RFcKjm11HJCJLfeDk8vaKh7f6ne7yMvVA7fu6tSLNF,4.298506,0.0036774243,0.90751505,0.0037842374,0.0036774243,0.0,0.010194012,0.0
70,5HeAQfaBEYuq1ivNH3PLvDkVDbgrB4BuFyVxiLVnvNYyMHUY,5GZFvifQNfXvGLy6h1bHkZSHnwwNJ27Cxf2Msr5kGnNxkkZU,1.2670935,0.0039673457,0.8725261,0.0038452735,0.0039673457,0.0,0.010993832,0.0
