UID,HOTKEY,COLDKEY,STAKE(τ),RANK,TRUST,CONSENSUS,INCENTIVE,DIVIDENDS,EMISSION(ρ),VTRUST
0,5GKH9FPPnWSUoeeTJp19wVtd84XqFW4pyK2ijV2GsFbhTrP1,5GcCZ2BPXBjgG88tXJCEtkbdg2hNrPbL4EFfbiVRvBZdSQDC,1198859.5,0.0,0.0,0.0,0.0,0.25392538,1.7880553,0.97682154
1,5DvTpiniW9s3APmHRYn8FroUWyfnLtrsid5Mtn5EwMXHN2ed,5G1KeLg1rda5kBZ9pWVnpAe3y4RwRRphcVxuY5mukLFStJhj,199057.6,0.0,0.0,0.0,0.0,0.04043641,0.28481552,0.93783474
2,5DcJGVfX19UegBTSdumLWwZrXnwnWwVjJXDXGMppFtfHuDco,5HE5HFK8dX3jkyEnWCuNxaWmT5xEVLT8RaDzmoxth6uhFygu,0.6730537,0.004776074,0.9598993,0.00468452,0.004776074,0.0,0.033700153,0.0
3,5Gx1e39Q747sseBNfeaJkzQEFaLXA6Gw8FuPyfAn77P7qpH2,5D7XToBezuZnUc9S8NruoJPDQSthSUvTSJpCSxawEci9t2Zr,2.0051143,0.0044861524,0.9730373,0.0044251163,0.0044861524,0.0,0.03159579,0.0
4,5DUsbKwFdKJZC4PKWQ5yGRwzxApdTqRdqVvEfntpeCq6VYFT,5EnzKAdtxsDT1GGifjc4n4ZZnHnuL1rd8FaPDgqotbMzXJLL,0.0,0.004821851,0.9741817,0.004654002,0.004821851,0.0,0.03400424,0.0
5,5CLvh5fcAwDVPTcGsS4nmKbM4Kan357MsQFTAN4wmePXEaxB,5D7XToBezuZnUc9S8NruoJPDQSthSUvTSJpCSxawEci9t2Zr,6.4261427,0.0043945983,0.97943085,0.004242008,0.0043945983,0.0,0.030960228,0.0
6,5Dt4SURhRea5RoziaBEPdhoZJoNBWxFubuvZUGaqodpvH8Ax,5GBiMRFUKZ1u9CfEhcLdJhFmMNcSTnQ5DgJ1AJUNAXHa3dKh,5.8241386,0.0044251163,0.9459373,0.0043793395,0.0044251163,0.0,0.031199975,0.0
7,5CsvRJXuR955WojnGMdok1hbhffZyB4N5ocrv82f3p5A2zVp,5EJAqczgzCMvWcmXhKMZH4vMS5gPy8BjeuHjz5o5yN6RYzX2,49076.902,0.0,0.0,0.0,0.0,0.012252995,0.08630892,0.98713666
8,5FnHgrbvhPqQNkrrfhFmvUH3dXLaAJGXJbrkHx87sdxSDw9w,5E2Zh897bGZGM4EbdgfYhtgrnu5ZDPkxjiyPH4vXkGuPq6rP,3.5692787,0.0033264668,0.94595253,0.003448539,0.0033264668,0.0,0.023450963,0.0
9,5Dxyvd97NrABKaqsPW9uav82DP2fARq5CRLYrQU947gJaJzP,5HRPga8Akpcm4SYU2cd55tx7hHbYxLWZKV2jFM6T4v416jH1,0.6561293,0.0045471885,0.9682307,0.0045014117,0.0045471885,0.0,0.032079328,0.0
10,5EXVJhyBhFvmhDLiZWheK3GqaBDraSGLCU4hAAcZi3KdqK85,5FsohGwryM33Bq1WuXKBdEaUzdM7njEhSKwi1ESoKDyEgbBw,2.6248894,0.004623484,0.9694667,0.004623484,0.004623484,0.0,0.032564156,0.0
11,5DCxtw79N1gWMuVDWBEPU8DUgRKy831DBLnhY15aEsjo8PWz,5Et5pDJ3DpbYew21pt4mrdCVC1K5hoFXbnpotX1E5J8nW6GQ,0.6781646,0.004745556,0.9819791,0.004623484,0.004745556,0.0,0.033478234,0.0
12,5GGvN8HDhmW4j4APfkcPvxARiR3R4sreNk8fo1nZ9AfgNou5,5Hb8MZt1f4nYMeWCbMi7S95dfSCtH2et6Hb1sAjafhkETVKw,0.0,0.004715038,0.98260474,0.00468452,0.004715038,0.0,0.03326982,0.0
13,5EAXiCF4KqhAcJUeSvorLUwcEhYcMKWE6dtVcXbDPbop7beJ,5Fh6UqFxert6ppuAEJMepWxLhsD3hLpkFhTty7BCFnTsZc1y,6.603644,0.004654002,0.9542382,0.0045471885,0.004654002,0.0,0.03278356,0.0
14,5C83L4mNCZ2beKJpN2y8hk14Wp4HbnWqoio3su9LfhTkuUMg,5FsohGwryM33Bq1WuXKBdEaUzdM7njEhSKwi1ESoKDyEgbBw,2.5409942,0.0045471885,0.9746548,0.0045014117,0.0045471885,0.0,0.03211348,0.0
15,5HEbh1ddopGG3mpFx8ZeLPquunk3466puz9QtHphpUGNys9h,5DEzKaZ947Tt3trQEhLQwvV6oCxYhCpguX6oqL4hZggj1Pfq,3.131696,0.003448539,0.93948275,0.0033875029,0.003448539,0.0,0.024360817,0.0
16,5F1iuPPjydix4FTSvfgdNwaX2boJSCwrui38HTGpHWj5ySvw,5DqzX84L4z9rXi7PSyFKrDDiVz8TttHgn7uxaBfGzTzLsyRF,3.9903562,0.0039673457,0.9550164,0.0038605325,0.0039673457,0.0,0.027941003,0.0
17,5Dqdxho4Mc9HuybGFxh1mAREohEWTB37td5hBHvFSSfEqn6f,5FzzFSNqshFPMkLn1tVkACsgh1PpVTa9D7bjSQfeEwaQ6Guq,0.6752036,0.0046997787,0.97883576,0.004715038,0.0046997787,0.0,0.033172116,0.0
18,5H66wVyWCnX4L2BFK9S5CizcAATJETGE8H7YwH49Lgxb7CGc,5EgrzhRSg4a9WEoLgeUYrNdiXy9KrqFNRGkn3KJNuYqCzHEb,0.67271113,0.004043641,0.94189364,0.0041962313,0.004043641,0.0,0.028566515,0.0
19,5DJjp8WPYFD8dF9Hur6qt8g6jLyT12wdwE5T6LLY5jhy3Xyk,5EyH1wijt6SbxoQHZWhCybLjHpqpbUqKefDswjBGq4tpW4Ss,0.0,0.004242008,0.947982,0.0042877854,0.004242008,0.0,0.02995176,0.0
20,5DxxBfcubPJEoVLJCZhjnLZDYnYPBcdK7bV9jCfmCfRU8sFF,5CShw6wntD2xsbmyXGQ87coCopmZsM1jTJWr7f3svRjBZDLJ,4.8476505,0.0046692607,0.937438,0.0045319297,0.0046692607,0.0,0.03287857,0.0
21,5HQvzhuBW3HLq1wPed5b3oioPCM7rW61AoaACbhxpFLLww52,5Cny5W58EVZuFNEF5YMmYG62SdyAiLovBEhE2vKjgsUV1qFU,0.21442084,0.0033264668,0.95519954,0.0037232013,0.0033264668,0.0,0.023446621,0.0
22,5DSQvBSqQqNVRmRdc3S35PWqZNA4civ4RQWgPaFGvfQ3GNf1,5FR1io43pEuvvjCB8Grbdbe6Dk9SzwAYC3Zidfrxvp5bmDrc,3.0677505,0.004272526,0.96612495,0.0042572673,0.004272526,0.0,0.0301805,0.0
23,5G9nM8hidMq29yu3xZhYQfDEQkn6Z5fTwzkFUnAZoVFPH9X3,5DtQyHkMbpgTLfKb7GfgBbDep6PHoYS6YPA89TN9R8iLNQi9,3.746113,0.004730297,0.9872435,0.0046997787,0.004730297,0.0,0.03337805,0.0
24,5HHaJ8ujLfrVPnzV7kdSsZDkkE5XnPQaUfK3uGmLWEnpWp19,5FRCpHaHZJefnkL7Jut4KS59tmcD73cnUkA3Sz8FvkQyzDEg,4.732489,0.0044708936,0.983032,0.004333562,0.0044708936,0.0,0.03151379,0.0
25,5GMuh9bJp3i4jEE7pw9MRgUDiP3dNAfC7Adm1PLCdJptfUkF,5FxNALGbS3Jnptt44oVZfTZtSqZmx2D5z2tssqaMr5zTE15D,0.15601343,0.0035858701,0.9405051,0.0037232013,0.0035858701,0.0,0.02533402,0.0
