UID,HOTKEY,COLDKEY,STAKE(τ),RANK,TRUST,CONSENSUS,INCENTIVE,DIVIDENDS,EMISSION(ρ),VTRUST
0,5Eexfw8PQvNYvtG66oKZWsZLGcbjF2K6cGEtKarqSPn7cajP,5HGo1SwZTMHxFEvco48L9etUs8Ra7GpzkWS8rFWtpRZqKZfG,0.7508425,0.0053101396,0.8598764,0.005325399,0.0053101396,0.0,0.016179897,0.0
1,5ERkDxUPiBmzRUKXwZWMU5T6hZVYzYSpnxzjScHkPUZu73Aq,5GCGKnyapC98noVahSs6iCg6XkNfDwrQWxY8KXQaUNLhPmtd,0.7715945,0.0043640803,0.9339132,0.00421149,0.0043640803,0.0,0.013290378,0.0
2,5GEdKgVPAkzgkMtaYm7CjRgjmvcTPtnWUr7dDgpCf8vaP8cj,5HGo1SwZTMHxFEvco48L9etUs8Ra7GpzkWS8rFWtpRZqKZfG,0.70976406,0.0057679103,0.8709697,0.005645838,0.0057679103,0.0,0.017566824,0.0
3,5GEenSsA4qxvguN1TyynnSoLm3tyxJ2pSBoGzyQD27Ut87S8,5HGo1SwZTMHxFEvco48L9etUs8Ra7GpzkWS8rFWtpRZqKZfG,0.7038509,0.004867628,0.860914,0.005004959,0.004867628,0.0,0.0148434,0.0
4,5E23n1kQPvKMFh9xBzU9R5iNmG92bEm5KB8c4qC7gCMpZUvK,5Fneq4LsymcxWCW5d9t9eYQLiZbnkMgK7m467dmYxkoYnqip,1.4894392,0.0045777066,0.9049516,0.0044556344,0.0045777066,0.0,0.013940223,0.0
5,5HdnqeW5ZefhntAiW1ss8TkZ72Z8YYzmzRzd8uHhxd9qqHMb,5GCGKnyapC98noVahSs6iCg6XkNfDwrQWxY8KXQaUNLhPmtd,0.72357666,0.0032349126,0.82624555,0.0032806897,0.0032349126,0.0,0.009866415,0.0
6,5DvVBJpe4QbiLtX4ay7VPeyCZFayaUEWrmkZAiza3PdGZzLE,5EqoPdDd8LwDa6o9kBmRG7vajaLEsHaqKFSD2VSXn6Uoa6BK,0.81671375,0.0039673457,0.8110781,0.0038300145,0.0039673457,0.0,0.012097943,0.0
7,5H9iGerao4EHN7VAnFExgxc5cPRUXEoLcAKTxt6NXrhDGbWV,5HgJGhmz6w8fhyrHBRa2MLoKZpmLdJ8HyLNE7wDGQy4PPRNU,0.0,0.0029144732,0.73470664,0.0030212863,0.0029144732,0.0,0.008878988,0.0
8,5G9drmh3FcPQgToB2D4YKg7gA8jqYsJq6xkvwogky6PdkCTu,5Chsz2jFaebyWQg1T6DWhyDAQ2t19wf3PZa7ZYJAKogQmkhG,1.5727193,0.004852369,0.90234226,0.004913405,0.004852369,0.0,0.014798609,0.0
9,5FgYXBnD63LNLkArKfbK1i4K2gbLbs6zULHA2DXFmhLdtFHe,5CcaSxNVCk1TQ9EtEP5cXpV1RJT4go3zG2KQzXt1EGL5RNwK,0.73902094,0.007431144,0.9748684,0.0072938125,0.007431144,0.0,0.022616087,0.0
10,5FAFLKofJVRdGqpkagNkhFAKJj1txvTD4X95q17y1VEZwQLr,5GN8jn82WpY3yXWXNdo521wYu2QDN6wJP17JpaxVm2zdJtNz,0.0,0.004119936,0.88290226,0.004135195,0.004119936,0.0,0.012565091,0.0
11,5Dd8gaRNdhm1YP7G1hcB1N842ecAUQmbLjCRLqH5ycaTGrWv,5GBkWRazB6zjyKg8GtkDr347Vndkq8pWock2XQP1NMEn1jo5,284348.44,0.0,0.0,0.0,0.0,0.037827116,0.115061864,0.5569696
12,5GC7Ys4UQdJMLS28ENwhXBxigjcgLUm9QFwfxddeRPp9oxn1,5FA3EFVib5REWN1Gb1aPvYHUSg8J86MAfV9KDZLH3XPPjEE2,1.6296155,0.004562448,0.9313191,0.0046387427,0.004562448,0.0,0.013872824,0.050675213
13,5DJHXmF58QxfMDaeZC1Aw2rJyf3YqvAmdM9vmwBsACtEsmQe,5CSdZpx4DrCH8c15TaBwKcptTeoQe8e2xsVToqgG2fHVHx4n,0.0,0.002822919,0.70176244,0.0029449912,0.002822919,0.0,0.008593351,0.0
