UID,HOTKEY,COLDKEY,STAKE(τ),RANK,TRUST,CONSENSUS,INCENTIVE,DIVIDENDS,EMISSION(ρ),VTRUST
0,5CFLgLxCd9sBWBEPkyU4GWDCoac2hhRnywgbW71AKoibqTuv,5CqSeScXXkWDbvhXhND51PA96rUn8ZCXDxRg1wNnAn43YUpp,0.0,0.002822919,0.9509117,0.002716106,0.002822919,0.0,0.016531685,0.0
1,5DvRtuZrADxUybqC3AKDxb1dBDwBxe4RuZzwqbqrbiMjrGgB,5GL67Su9KKoYycLzD9PSF7gygbYjiEXpb4iqNk2mvUj2m2dC,5.703053,0.0028992142,0.89669645,0.0029755093,0.0028992142,0.0,0.016959636,0.0
2,5FYjD3VGVDC33KwhUqEsLi1SoVF5uBfCo3dC75jv4K53ExrW,5DCNmYS1kHBvc9XpjJorVHxaxKEy7ManeokpyQBnfwymRKM9,0.9835402,0.006897078,0.8798047,0.0077973604,0.006897078,0.0,0.04036013,0.0
3,5F6sjkGZPrMJA6DEjXboYG5yg456wtWuuDf5zPWXye5o45Ze,5GTkSCn4TF5GWeDNBTzfLdiuDT4QJ54UGaSotBYatrjnywLk,0.0,0.0031738766,0.9257801,0.0032349126,0.0031738766,0.0,0.01864062,0.0
4,5GKH9FPPnWSUoeeTJp19wVtd84XqFW4pyK2ijV2GsFbhTrP1,5GcCZ2BPXBjgG88tXJCEtkbdg2hNrPbL4EFfbiVRvBZdSQDC,1198859.5,0.0,0.0,0.0,0.0,0.22397192,1.3100308,0.9029679
5,5FFApaS75bv5pJHfAp2FVLBj9ZaXuFDjEypsaBNc1wCfe52v,5GZSAgaVGQqegjhEkxpJjpSVLVmNnE2vx2PFLzr7kBBMKpGQ,325248.4,0.0,0.0,0.0,0.0,0.06445411,0.37701598,0.9370718
6,5EhvL1FVkQPpMjZX4MAADcW42i3xPSF1KiCpuaxTYVr28sux,5HJvTnicbUEyKHE8pu3tWVhECRiqgDmxKE3AcG4H4djeyRK8,250435.8,0.0,0.0,0.0,0.0,0.04509041,0.2638097,0.8667277
7,5H64JN8cUK3NAQkVGRFSBVTKyAN3D6yJY5DR2DHeyZmgvMAD,5ERPifjRduxrDfuyZA2jGxGqMAyrVkQmgAZmCj1mvsa2woLX,0.0,0.0030212863,0.8464332,0.0030670634,0.0030212863,0.0,0.017728657,0.0
8,5HK5tp6t2S59DywmHRWPBVJeJ86T61KjurYqeooqj8sREpeN,5CAwB3dSiMC5jJfpvVU47zT3Gyz5ZDoiyHMaYZUuNs5hFh2P,322589.44,0.0,0.0,0.0,0.0,0.06251621,0.36570027,0.9379263
9,5F6eGbHXGtT7nC9aJPfyBJJYfwyJLgCnNQigahCndVSk5SDG,5EcZsewZSTxUaX8gwyHzkKsqT3NwLP1n2faZPyjttCeaPdYe,1.7811126,0.0024414435,0.7631189,0.0025177386,0.0024414435,0.0,0.014330085,0.0
10,5FYy8wD1i43NpkVBCQRRsUoSusax66uTxkdykYXnaLQ3Srqu,5DCNmYS1kHBvc9XpjJorVHxaxKEy7ManeokpyQBnfwymRKM9,1.4389213,0.009719997,0.88677806,0.009292744,0.009719997,0.0,0.05685373,0.0
11,5DqvXEZXHzrcUJi2SVU2bmExRyVCNYUShXJLRXjwWMfqzBtN,5HELhK1EqU5bikQttkXPbeMk2VR3drXK9aL1DGwFmnqenmoy,0.66094166,0.008316167,0.8190738,0.008056764,0.008316167,0.0,0.048705056,0.0
12,5Ft3TkCazBCgF1k9ucFhGi5RHWBnnoeYBybSnzct8j3PRFAK,5DtjDcjAtNg3DRiQsnerWHRknGzSb56DUDnSGvMGu41brupm,5.5439157,0.003555352,0.9804074,0.003494316,0.003555352,0.0,0.020829204,0.0
13,5DvTpiniW9s3APmHRYn8FroUWyfnLtrsid5Mtn5EwMXHN2ed,5G1KeLg1rda5kBZ9pWVnpAe3y4RwRRphcVxuY5mukLFStJhj,199057.6,0.0,0.0,0.0,0.0,0.039230946,0.22945975,0.9363394
14,5E4egsjfSyY1BxqyJf65DCJHhvZwu1eznK1MtNQX2K1eJo1Z,5DtjDcjAtNg3DRiQsnerWHRknGzSb56DUDnSGvMGu41brupm,5.504812,0.0033569848,0.93112075,0.00343328,0.0033569848,0.0,0.019713739,0.0
15,5HRQs9TZwNQtPzkTyeGvowiGuCLSjDaDkQ6pVHtjv8rsTn2T,5GL67Su9KKoYycLzD9PSF7gygbYjiEXpb4iqNk2mvUj2m2dC,5.5005646,0.0029755093,0.9295949,0.003418021,0.0029755093,0.0,0.01747047,0.0
16,5HjYA9UwNKJLxHoaW7fxmUMmwJdkYXR4dLS68oVnSeeDQ8Tc,5G3ybjsNgskYeCaHXQjxZrXk6K1Ys9JHSZsivAXuxdV98dtm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
