UID,HOTKEY,COLDKEY,STAKE(τ),RANK,TRUST,CONSENSUS,INCENTIVE,DIVIDENDS,EMISSION(ρ),VTRUST
0,5Cg1NgLF4WtreGKwUL9euTe8zKz9FfP7mEbkoBMbSsgBA9M1,5CY2ut7ZxZuXWbxdWQfQzWkmekq8HtMbcnYYZ73B4uX2v3kC,1.4644238,0.0050812545,0.915877,0.0049286643,0.0050812545,0.0,0.06372064,0.0
1,5CFpNJLJMaYwpydsXP8YNEjiSPmpUVgBDfzUAhNzYxdDp191,5DNn9ZMCTRL7KVvhAqnATnPbFf7StTDT3yf2LKoVNoK5X4hB,0.0,0.0037689784,0.9432669,0.0037079423,0.0037689784,0.0,0.047188316,0.0
2,5DRXVP3jvEr6yh3K1uYqAchPz4dEb4XbEhgq6b5f4jVm8Fon,5FW5SqGrVLGu1gVfZMa5xawsWngwQTSpFGY8MPKpCgMZcdNi,0.0,0.003952087,0.94349587,0.004043641,0.003952087,0.0,0.04960933,0.0
3,5HEo565WAy4Dbq3Sv271SAi7syBSofyfhhwRNjFNSM2gP9M2,5E9fVY1jexCNVMjd2rdBsAxeamFGEMfzHcyTn2fHgdHeYc5p,532629.1,0.0,0.0,0.0,0.0,0.08960098,1.1216267,0.93224996
4,5GKH9FPPnWSUoeeTJp19wVtd84XqFW4pyK2ijV2GsFbhTrP1,5GcCZ2BPXBjgG88tXJCEtkbdg2hNrPbL4EFfbiVRvBZdSQDC,1198859.5,0.0,0.0,0.0,0.0,0.20482185,2.564022,0.9617456
5,5HVjQpZw7fSzLQ2gdG8kXNwhoJGTbWhHQxFiGd7dKazs9XJT,5EcZsewZSTxUaX8gwyHzkKsqT3NwLP1n2faZPyjttCeaPdYe,0.56259286,0.002014191,0.8094911,0.0022125582,0.002014191,0.0,0.025228592,0.0
6,5Gk6By42oGiAR7AjzdnU63fTgg8PhgbDauGyXDMGvPgZ88Bd,5EcZsewZSTxUaX8gwyHzkKsqT3NwLP1n2faZPyjttCeaPdYe,1.7280421,0.0051422906,0.9661402,0.0052491035,0.0051422906,0.0,0.06445366,0.0
7,5E1uCWgVWMKNUHaTGEAqed28xR2ric6mDKuuM1M8TNviGSUn,5CqSeScXXkWDbvhXhND51PA96rUn8ZCXDxRg1wNnAn43YUpp,0.0,0.003540093,0.91215384,0.0036926833,0.003540093,0.0,0.044329192,0.0
8,5EZabLFc1XYiSKFqZ5ubTcoqjzt5qScMH1YTHs3HC9oEaZfQ,5Fq3fe6XGeAoxV5tsRApee1YEvnKgBdxxvY6wHEPAvibsguY,1.1485999,0.004715038,0.9410086,0.0045014117,0.004715038,0.0,0.059125133,0.0
9,5F6eGbHXGtT7nC9aJPfyBJJYfwyJLgCnNQigahCndVSk5SDG,5EcZsewZSTxUaX8gwyHzkKsqT3NwLP1n2faZPyjttCeaPdYe,1.7811126,0.0049286643,0.9385824,0.0051728087,0.0049286643,0.0,0.061823975,0.0
10,5EyRpDAzy6fyoDpJzsDvbVipVVDVrjsko4AxpB1SDTcLSAKZ,5CXpwfEn6uYM8D5sE4NyqeX9RUha5m7P6tSCNiyrbK19jPW3,1.0922228,0.0044251163,0.9235065,0.0042572673,0.0044251163,0.0,0.05542494,0.0
11,5GYjPsha8nhSaYhvxSZQFdq6KcNvg5zRs3Qn45Tw2vFwpyZ3,5CXpwfEn6uYM8D5sE4NyqeX9RUha5m7P6tSCNiyrbK19jPW3,0.0,0.0044403756,0.93565273,0.004272526,0.0044403756,0.0,0.055758186,0.0
12,5CPFojoRN9ujSSvDTZammDEKuvvmTUpkhpf76P36fad2VFmE,5Fq3fe6XGeAoxV5tsRApee1YEvnKgBdxxvY6wHEPAvibsguY,0.0,0.004074159,0.9388571,0.003982605,0.004074159,0.0,0.051149238,0.0
13,5DD8hHMGJGG2yasFiWyU6rcTXFiDJ3FBJUsb9NNXsjQEqLqF,5GnNyf3SRw8xMHwdQX1pVUPGf8NWeTCB4KJLYUgnUJp2yaFo,1.1107804,0.004150454,0.9130999,0.004165713,0.004150454,0.0,0.052034207,0.0
14,5CSSrFrEYC16atwMPC3tfSaXFLtdxicPXqb3iu7jbmp9pa7r,5CXpwfEn6uYM8D5sE4NyqeX9RUha5m7P6tSCNiyrbK19jPW3,1.1048791,0.004089418,0.93984896,0.0039063096,0.004089418,0.0,0.05119611,0.0
15,5EC3m8UxW7gQ33Kob5SM39RuLskUipigSs2cH9GiT6NnTYdW,5DNn9ZMCTRL7KVvhAqnATnPbFf7StTDT3yf2LKoVNoK5X4hB,0.0,0.0037537194,0.89973295,0.0038147555,0.0037537194,0.0,0.047012486,0.0
16,5CiTm7mmZELVFQ4PVjqJ1fqtz8wCpryyThRDLSzTse3mcKWu,5Fq3fe6XGeAoxV5tsRApee1YEvnKgBdxxvY6wHEPAvibsguY,1.7987704,0.0043488215,0.9488365,0.00421149,0.0043488215,0.0,0.054598898,0.0
17,5CniE3mb77BhbuXCDN2aiDGWfWsqbeV6o5QfhvN3gbvhozyt,5FW5SqGrVLGu1gVfZMa5xawsWngwQTSpFGY8MPKpCgMZcdNi,0.0,0.0037384604,0.942916,0.0037232013,0.0037384604,0.0,0.046854038,0.0
18,5HVQwCHgnq48DrfM8a4W1yGWp5H1ZNkZx1h1scNFHD8cD3MV,5CY2ut7ZxZuXWbxdWQfQzWkmekq8HtMbcnYYZ73B4uX2v3kC,1.4506001,0.004730297,0.9161975,0.00468452,0.004730297,0.0,0.0593782,0.0
19,5CaJP3u5rKZ5gR4APBsAmk7Bjqs5zhCgUwverZYQAkhHF1r5,5EcZsewZSTxUaX8gwyHzkKsqT3NwLP1n2faZPyjttCeaPdYe,0.46118978,0.0051422906,0.9342794,0.0052796216,0.0051422906,0.0,0.06444288,0.0
20,5Gzjf2XLsvYDZoA7gmqrLxySYJdxMyJajJNXvwcCUmKqNY1o,5FjacWntLV1zWZFMRiGmhmE66uJwMQ3aDwnxz4HNEkuu7FnX,0.0,0.0033875029,0.9049058,0.003524834,0.0033875029,0.0,0.042558216,0.0
21,5DZV3mzpG4fgV78qAcsJQoRUNrVWMQuiPrcHNmJrmjXPcUwk,5CXpwfEn6uYM8D5sE4NyqeX9RUha5m7P6tSCNiyrbK19jPW3,0.0,0.004333562,0.9651026,0.004333562,0.004333562,0.0,0.0542669,0.0
22,5EU2yGdzbGQRSorRGXaizYn6i9J7pLX42kTutaoP1LqeyJHk,5Fq3fe6XGeAoxV5tsRApee1YEvnKgBdxxvY6wHEPAvibsguY,1.1260402,0.0043945983,0.9811093,0.0044251163,0.0043945983,0.0,0.055080935,0.0
23,5F2ARKcezacb34NQk4R1ixNsLRsVBJgx4QSFfC5Y8pqSBHVr,5Fq3fe6XGeAoxV5tsRApee1YEvnKgBdxxvY6wHEPAvibsguY,1.1062862,0.0044861524,0.91943234,0.004333562,0.0044861524,0.0,0.056299485,0.0
24,5CMCutKSzibchBocyaSHjCL2ZPQZQPLK9AEbPGwpqJKdd3oZ,5CY2ut7ZxZuXWbxdWQfQzWkmekq8HtMbcnYYZ73B4uX2v3kC,1.350141,0.004974441,0.9336843,0.004760815,0.004974441,0.0,0.062374026,0.0
25,5GpsHd9oBun8se3dJQmGvEQzacGG2qicBbizejFRW2KETzEX,5CXpwfEn6uYM8D5sE4NyqeX9RUha5m7P6tSCNiyrbK19jPW3,0.0,0.0044556344,0.9433738,0.004303044,0.0044556344,0.0,0.05585869,0.0
26,5DMBh2oMf2VjKnwNSCBPB2obwhQdUx4FKc1zkf52SCqe1V1w,5EcZsewZSTxUaX8gwyHzkKsqT3NwLP1n2faZPyjttCeaPdYe,0.5286982,0.0016327153,0.7940642,0.0018768597,0.0016327153,0.0,0.02060266,0.0
27,5DZQoa6pkYhWk5pF1iYkzcE3KvBMbAKj6VAduAFXcZCLYVuu,5Fq3fe6XGeAoxV5tsRApee1YEvnKgBdxxvY6wHEPAvibsguY,0.0,0.004242008,0.92935073,0.0039978637,0.004242008,0.0,0.05313583,0.0
28,5CDqtjtozZpEQnzdsKvADu6rQz63JdMMtZdkTnhngdcZwfME,5GnNyf3SRw8xMHwdQX1pVUPGf8NWeTCB4KJLYUgnUJp2yaFo,1.1866567,0.0045319297,0.95288014,0.0045014117,0.0045319297,0.0,0.05684451,0.0
29,5Cwe9cTXv2sFALHMUKLVuFxZWsCEE6Ra6X1Z6fUHoV3FwEtZ,5GnNyf3SRw8xMHwdQX1pVUPGf8NWeTCB4KJLYUgnUJp2yaFo,0.0,0.0043183034,0.9648585,0.00421149,0.0043183034,0.0,0.054192845,0.0
30,5Evc5P74N4WMyvDKxeKEt7R8caEQe9eKX5QTjNt1zPy8TzN3,5Fq3fe6XGeAoxV5tsRApee1YEvnKgBdxxvY6wHEPAvibsguY,0.0,0.004623484,0.98754865,0.004562448,0.004623484,0.0,0.05799216,0.0
31,5H4MieK49dBW1m9MtBEUzUSviwKUHw1QfVre5m12Z1f5vZgS,5Fq3fe6XGeAoxV5tsRApee1YEvnKgBdxxvY6wHEPAvibsguY,1.1569165,0.004333562,0.95515376,0.004180972,0.004333562,0.0,0.05424815,0.0
32,5DyHR3cFrub64GFYBEzWCkXHy8uKfggRcthRiWXfJ5z43qNq,5CXpwfEn6uYM8D5sE4NyqeX9RUha5m7P6tSCNiyrbK19jPW3,0.0,0.0046082246,0.9482414,0.0044556344,0.0046082246,0.0,0.057734393,0.0
33,5DMN4P4XNouV7GrmH327D5XqS1eC2R5GsZ3PRRqEP2scYbxf,5GnNyf3SRw8xMHwdQX1pVUPGf8NWeTCB4KJLYUgnUJp2yaFo,0.0,0.0042267493,0.93044937,0.004165713,0.0042267493,0.0,0.052964687,0.0
34,5CcPpcUxuhHjD6qWyhjzLJy5168ZPVxSYxe3FbbUKPgDTQHc,5GnNyf3SRw8xMHwdQX1pVUPGf8NWeTCB4KJLYUgnUJp2yaFo,1.1029605,0.0046387427,0.9229572,0.0045471885,0.0046387427,0.0,0.058125306,0.0
35,5Gb9Er57nRBLK4cneX2E6xo33L4s7NhGXTqMRobYc2K9odkN,5EcZsewZSTxUaX8gwyHzkKsqT3NwLP1n2faZPyjttCeaPdYe,1.259714,0.004867628,0.9003128,0.005386435,0.004867628,0.0,0.060931537,0.0
36,5D2Vuey2yQpkytH1FS8LHY2C9ZXq9LMQb8hgaYntp6i3fUgz,5GnNyf3SRw8xMHwdQX1pVUPGf8NWeTCB4KJLYUgnUJp2yaFo,0.0,0.0041962313,0.92472726,0.0043793395,0.0041962313,0.0,0.0525342,0.0
37,5GVwvWkC2khKwRPtk5fWEvPoy3RZ8su2M6jQqijEHvJQVbco,5FjacWntLV1zWZFMRiGmhmE66uJwMQ3aDwnxz4HNEkuu7FnX,0.0,0.0031586175,0.9133898,0.0031891356,0.0031586175,0.0,0.039543584,0.0
38,5GuY3FNMnJXuhBsPTKzEAkhMR5isJDZQumdk84VKEuFpBL66,5CXpwfEn6uYM8D5sE4NyqeX9RUha5m7P6tSCNiyrbK19jPW3,1.10904,0.004119936,0.92066836,0.003921569,0.004119936,0.0,0.051720936,0.0
39,5GRkH4tgMvRv7eCi43HoUZGhjrYGibRFEzH2VWEvj7TbTb4K,5CY2ut7ZxZuXWbxdWQfQzWkmekq8HtMbcnYYZ73B4uX2v3kC,1.3415161,0.0050965133,0.9424277,0.0052796216,0.0050965133,0.0,0.06387104,0.0
40,5F1bL6hKixy7snPysLb7Zp2nQponrhErBgkPf5hBTBBn5PSV,5EcZsewZSTxUaX8gwyHzkKsqT3NwLP1n2faZPyjttCeaPdYe,0.0,0.0053711757,0.9736629,0.005706874,0.0053711757,0.0,0.06729129,0.0
41,5EkXz3VrtfcQd1Tu7L49Vw7Ei2QCYesKat4bqQSU4iPe9cwf,5CAXk8HNekSZTkpqjV7e5cMFSgyDPphGCG8p5NYxkYeFHyhb,0.0,0.0039978637,0.9389334,0.004089418,0.0039978637,0.0,0.050227635,0.0
42,5DwJ2R12zQudvdFrweKDXh1m6eTmKA8wX1brqRwd9TC4Mno5,5Fq3fe6XGeAoxV5tsRApee1YEvnKgBdxxvY6wHEPAvibsguY,1.1982766,0.0044556344,0.95767146,0.0043640803,0.0044556344,0.0,0.055959363,0.0
43,5HjkB6JeeXaDjDvL7kjDdkpZzUXPMVRnNDDK9UkXDW5HEw1c,5CY2ut7ZxZuXWbxdWQfQzWkmekq8HtMbcnYYZ73B4uX2v3kC,0.11991845,0.005035477,0.8879072,0.005477989,0.005035477,0.0,0.0630813,0.0
44,5Fq58PLK9k4dKPVGafwD5ywiduYYAuYgAiLkgD457hUMfT2G,5CtfksUBX1PXrj3Je2F8wY6KfRhcwbTB2oTUREqwUgBoRw76,2.2516265,0.004562448,0.9151293,0.0046082246,0.004562448,0.0,0.05716091,0.0
45,5E4cJjiJW9g7LS2UE2xEHp3vHr8UZsNqu5uA68LiVFEMhZnF,5GnNyf3SRw8xMHwdQX1pVUPGf8NWeTCB4KJLYUgnUJp2yaFo,1.1229016,0.004242008,0.9457542,0.0041962313,0.004242008,0.0,0.053158227,0.0
46,5CkmDYkYRL5hbRCR9bN5xGc5ny29cqpucZMRnCtS5KtGivrU,5CAXk8HNekSZTkpqjV7e5cMFSgyDPphGCG8p5NYxkYeFHyhb,0.0,0.0034027619,0.92599374,0.0033264668,0.0034027619,0.0,0.04265181,0.0
47,5DvcNTacjrX1Zq8oCSnABUa3U8gcTwYDwqxhZA4kKscNzk23,5FjacWntLV1zWZFMRiGmhmE66uJwMQ3aDwnxz4HNEkuu7FnX,0.0,0.0035706111,0.9046769,0.0036011292,0.0035706111,0.0,0.044746324,0.0
48,5DXfjNTc7PMB7EP3Y4iUSaUALir2fiR65saorSwKnfCCSQHj,5FW5SqGrVLGu1gVfZMa5xawsWngwQTSpFGY8MPKpCgMZcdNi,0.0,0.0039368276,0.95652705,0.0039978637,0.0039368276,0.0,0.04937019,0.0
49,5CD4azqvHGSJCdCsLhfarNEYqdXRzFV7YoJABEqt1ijgdE4y,5CXpwfEn6uYM8D5sE4NyqeX9RUha5m7P6tSCNiyrbK19jPW3,1.0763363,0.0040589,0.921355,0.004028382,0.0040589,0.0,0.05080758,0.0
50,5Hp18g9P8hLGKp9W3ZDr4bvJwba6b6bY3P2u3VdYf8yMR8FM,5Fsaw8RJ1ptAf4kikHk6d8PVHS7vEd4whjccrFKKrCZ8XFRT,150330.72,0.0,0.0,0.0,0.0,0.025391012,0.3179653,0.91548026
51,5HYk8DMKWK8TJyPzZJ9vmZk7B5NPCgjnZoyZ1ZsB54RXdN47,5Eq8b9p6zJMjEXyH9sX4DRMYspnUyorEKq3Zmha1WN6AC4sf,35159.023,0.0,0.0,0.0,0.0,0.00608835,0.0762456,0.9364462
