UID,HOTKEY,COLDKEY,STAKE(τ),RANK,TRUST,CONSENSUS,INCENTIVE,DIVIDENDS,EMISSION(ρ),VTRUST
0,5Dee4NS7DYQVnXdgqb7gbUfcdJFpttLNZfZo5hhkshBnaLSP,5GVqPUc2uzD1CAi9vFeaV9TTynffSaVui7XhW3Mcg1fGvDir,10.594279,0.0012054627,0.525246,0.0011291676,0.0012054627,0.0,0.001275881,0.0
1,5DGB9JWX2EUpJh1Ws2bLPTt96zmvaRRKApfrJdzh6LgRCQDG,5D24HvAjvaHMbWL3Bn5HaTVxEVrKhWj6xtNnkwqBGCajEjvo,0.0,0.001373312,0.5461509,0.0014648661,0.001373312,0.0,0.001464752,0.0
2,5DXfjn3FahJNjWBde5skCzypVbgbEAHjMa9nz9ZmbCzoszNM,5DqybYVC9CGUGndwW5Duiv5DNBKYREZPBWJoykD7AYoPMVcZ,0.0,0.003448539,0.7629511,0.0036316472,0.003448539,0.0,0.003646982,0.0
3,5FFApaS75bv5pJHfAp2FVLBj9ZaXuFDjEypsaBNc1wCfe52v,5GZSAgaVGQqegjhEkxpJjpSVLVmNnE2vx2PFLzr7kBBMKpGQ,475569.06,0.0,0.0,0.0,0.0,0.09211872,0.09731108,0.77103835
4,5FTginZV5rZEKbhcvLgbGYYRwsnVufKw2ZzxkRTVZTVkiCjJ,5G67pbmDqPxdw8zBqDDTBtSpxWrkmHc85wTXSRRkGrtYDUxt,0.030323436,0.0039368276,0.7356069,0.0037079423,0.0039368276,0.0,0.004165975,0.0
5,5Chbaa7ikTU4PBt2BM8MN44wiEgiKTcK6BWn434LiFU8hWkq,5HYCHWjd55t9qPWUkrEX2PUmWTxhYr67bEQoe3RLTAw1G3su,0.0,0.0066224155,0.94923323,0.006378271,0.0066224155,0.0,0.007000998,0.0
6,5CXRfP2ekFhe62r7q3vppRajJmGhTi7vwvb2yr79jveZ282w,5CMEwRYLefRmtJg7zzRyJtcXrQqmspr9B1r1nKySDReA37Z1,83161.734,0.0,0.0,0.0,0.0,0.015808348,0.016704554,0.7515068
7,5Ct4ByaxN2HKyzbzDZ2tKr3s3VgGk19uDbQRH55UfFoQy4Kt,5FvfCgAB4SbcSV4HJmzRrcmWTjjKiM7E6wXR6p96vaH2oCLo,0.45865273,0.002136263,0.63706416,0.002014191,0.002136263,0.0,0.002268624,0.0
8,5HR1WweBmXBSpHnt4pLkbLL3UzLXTuPnr2jrKmN5JGAEPCng,5Do8ukQfSHgJ56GvcoBxxXDit2zrSimcpRSRtF7fXAuNQHsE,0.0,0.0077973604,0.9441825,0.007049668,0.0077973604,0.0,0.00825225,0.0
9,5CcYFk2SceeFfsdCskA4STk9gkBK5FYM2qEbnCdh75RwyJWC,5HYCHWjd55t9qPWUkrEX2PUmWTxhYr67bEQoe3RLTAw1G3su,0.1285643,0.0042267493,0.8142977,0.003952087,0.0042267493,0.0,0.004470725,0.0
