UID,HOTKEY,COLDKEY,STAKE(τ),RANK,TRUST,CONSENSUS,INCENTIVE,DIVIDENDS,EMISSION(ρ),VTRUST
0,5FFApaS75bv5pJHfAp2FVLBj9ZaXuFDjEypsaBNc1wCfe52v,5GZSAgaVGQqegjhEkxpJjpSVLVmNnE2vx2PFLzr7kBBMKpGQ,475569.06,0.0,0.0,0.0,0.0,0.08145266,0.14884913,0.98850995
1,5EqxYnY8ySiQqtjXKBgmtH8KEvuFyct53BYZkjuMK9oCgdof,5ELhXtQF9Q9qFqawVzdn7rgikFT52U7g3nFU6Yx5kBMwXyfk,0.33691472,0.0043183034,0.99548334,0.0043488215,0.0043183034,0.0,0.007913437,0.0
2,5GBVhjDDAnY4HHtR8WqKE1WFGLsiJLDUnW24BWcib2ShfLgk,5GBMKfLZk6Jzmwu5aPhnmTmDTtWiuGfamS6te6mfXvQPwRSG,0.16462322,0.0043640803,0.995285,0.0043488215,0.0043640803,0.0,0.007989104,0.0
3,5EFnu7j2nMoxrvopFXC6HZU7ZA89r2wZNXRzzXKoECA53XEf,5EA7kE8BF7cpSXbv1tZDna1Vm3274hE4dR1dervrzrWrN4J7,2.1081889,0.0043640803,0.99555963,0.0043488215,0.0043640803,0.0,0.00797415,0.0
4,5GQzGxP73n3sNs4QaS1h8Daot2VSc3eP88qpdC89B7cHhYpj,5ELhXtQF9Q9qFqawVzdn7rgikFT52U7g3nFU6Yx5kBMwXyfk,0.33993804,0.0043640803,0.9940337,0.0043640803,0.0043640803,0.0,0.007997945,0.0
5,5ERvQvecLximu3umBDnQi469dZ1tXhN6xAE2j31z5GNnz3DE,5Gh1rg9oH9CrBs6r7eiQiQug6n1RffiQvg4YdUTiy9qFbBGC,0.007748175,0.0033569848,0.9650416,0.0034027619,0.0033569848,0.0,0.00615088,0.0
6,5DVAhuW9zQsCksvGcNjMSxj2zqqBbndGv16zKrQtF5JHUw2e,5Ebckpq1yr9QEDc1g8JBPtmAZoy8kv9wG9yQrvviDAjQqg6Q,0.3073168,0.004333562,0.9979095,0.004333562,0.004333562,0.0,0.007923767,0.0
7,5DPwBo91XvtBxNqXYBsdppvKpPVeP1rrHNDDVMvscxDUxoAZ,5HpyoAo2L4MkaRZkB6UyiW9jJc2Zw53sVK2K19PVEVnjpuVV,0.0,0.0044556344,0.9971618,0.0044403756,0.0044556344,0.0,0.008155795,0.0
8,5GNp91jTGafTnF1hQgocx16rwDk8GY4e5D7HP8cX3BCvi7jR,5HZ9n2crfVff5xqNNGVxt7xn75b3qsrajLucVCXmMGV8m9wt,0.1303422,0.0033264668,0.9748837,0.0033722438,0.0033264668,0.0,0.006084327,0.0
9,5Ci4pxb12qYi3aHEJaFEEEzGQ6u1tftrKhMomXuZ2aczWEAf,5EA7kE8BF7cpSXbv1tZDna1Vm3274hE4dR1dervrzrWrN4J7,2.1663978,0.004333562,0.9959411,0.0043488215,0.004333562,0.0,0.007933804,0.0
10,5HR4dwdRD5jC9zNkrL1G48UwimbNzWnw37f4QyLXufrnzd98,5E4SvfBWtzEZ5rhGuAWKnkvCnPB33zMHhHhkgxG11YcqM8BS,3.1352131,0.0043488215,0.9990082,0.004333562,0.0043488215,0.0,0.007964531,0.0
11,5Giz6zNXwZ9Kk2hoqiEySzu6z7uaiH6kfw41GdJDQhtqUoK8,5D2Zb2xUsjWPHP8RKyAbNrFYrnNH7gKaEVx6Jk3FJJr4dKMJ,0.60060966,0.0045777066,0.99208057,0.004592966,0.0045777066,0.0,0.008385711,0.0
12,5H4HgPFR5pgG74iWPFuAm36UaviU4gf2Lwe6BQGPngdpHQVM,5FZCEFxKko22mrJLFMbU6DFaYSBGieytdkGmWSdzTiPiaY7r,3.0376296,0.0043488215,0.99761957,0.0043640803,0.0043488215,0.0,0.007959185,0.0
13,5GL2V6ZdnikwfKbRTfbyEDmr14HZcQMcpdTaZPpgSJzh4Dcm,5C7SCqEnUxBWWdMPd2KVuPLpHzn3Yu2MRw1gh2WdZpAJzAVE,0.0,0.0042572673,0.9965057,0.004242008,0.0042572673,0.0,0.007785215,0.0
14,5GWVGqJkyoNNW4FGFUjFDiHJhfhGZSq8cpQUW2gMMLDFoDeC,5CoPDt8FgM1dVgUYwrMk1DJ7Ntx5hwHugakEzz8chYx3Vroj,1.1332629,0.0043640803,0.99655145,0.0043793395,0.0043640803,0.0,0.007990792,0.0
15,5CkS2ZhpuwhNV9awY1Tgwg4MWvHEuLryaVegf3nA4Y5z1kh7,5HGarHo494tntgpXc1PmzkeusDMJnuDZU2e9dd4qadw6cN8h,0.20037174,0.004272526,0.9941711,0.0042877854,0.004272526,0.0,0.007810917,0.0
16,5DP26fhNoDDCeP8dbB2AFRdZd9B5GdJk3cSoyK4UqAXFoAL7,5ELhXtQF9Q9qFqawVzdn7rgikFT52U7g3nFU6Yx5kBMwXyfk,0.5111669,0.0043640803,0.9953765,0.0043488215,0.0043640803,0.0,0.007988376,0.0
17,5DvTpiniW9s3APmHRYn8FroUWyfnLtrsid5Mtn5EwMXHN2ed,5G1KeLg1rda5kBZ9pWVnpAe3y4RwRRphcVxuY5mukLFStJhj,199057.6,0.0,0.0,0.0,0.0,0.034317542,0.06270633,0.9940032
18,5FeoBYHVvDekHZUhAeF8EjvTroMMSiZ5YesFT7JhocZjXzdB,5D2Zb2xUsjWPHP8RKyAbNrFYrnNH7gKaEVx6Jk3FJJr4dKMJ,0.60116535,0.0043488215,0.97872895,0.0043793395,0.0043488215,0.0,0.007962139,0.0
19,5FGzzgngCbstS4oN9F1xZ19X7M5BHoVtN9QYHAUV4SKKytG3,5GNzBcNQuRhXcBdcimxvUPTKC7T3sac3EtdhKhh4ZtGjTvz5,1.7182969,0.004333562,0.9938506,0.0043183034,0.004333562,0.0,0.007926322,0.0
20,5Dy52Yn5r5xCUWo3DjfU153vZVenLEtBZ9U7sLqhWuCrorZi,5CXhyqHtU8yD2kBUAAaqY6M8HdCKAac6YA1xV75yHXCLj85V,1.0283563,0.0043793395,0.9934386,0.0043640803,0.0043793395,0.0,0.008002875,0.0
21,5HZ7GLRDkcEvmBZsfqStbVGaoRDa3GF6vibkcnxNvXvPzHSu,5Fvjp2r23eRUbKgRPpSgq38fjDkti2oAEp5EkWmrzaa73DiW,0.018035894,0.0043183034,0.9864653,0.0043488215,0.0043183034,0.0,0.007900543,0.0
22,5GdrHqqdB5L4hxjcwDRoUizewWa5ozATn96wU9nDJt9Vmwpb,5CA6FDP8jU9cYPaL7kMxsDKbXiEEJcED2fuoM4mD9JxfGCV4,1.6152016,0.0043488215,0.9976043,0.0043640803,0.0043488215,0.0,0.007952174,0.0
23,5EF99DHKEWbB7EyyDyHhxs1ZT6tj3hrAp66MgVWfEFmjbJPw,5HGarHo494tntgpXc1PmzkeusDMJnuDZU2e9dd4qadw6cN8h,0.11977798,0.0042572673,0.9940642,0.0042572673,0.0042572673,0.0,0.007800656,0.0
24,5FvtoVkC96YzKtnsbbwcRME5vELy5Rh75xjj1AUG8wLUE99q,5Fvjp2r23eRUbKgRPpSgq38fjDkti2oAEp5EkWmrzaa73DiW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,5DHosWZ9tte7sF2Auu3TjWcvBuQE5GbcmbHKRViU4mRuhMy4,5DMFDnedshqaswf7JfAGWBTyPVAu4vagg9v1hAgchSu6TkEB,0.3363295,0.0043183034,0.997116,0.0043488215,0.0043183034,0.0,0.007900525,0.0
26,5Chsd9iw7EBNFUafaQLQbsKYqqKP14mqfBp7xHspGYnbo9ck,5HgJ6RXjTvkNKZ4uyCPDgoyrUx6aMuxnRjwQkwM2N9BhKWyn,1.0344259,0.004303044,0.9931487,0.0042877854,0.004303044,0.0,0.007880146,0.0
27,5Ca5eL7ybMQesDGfJWkLQEA4tVhPapG73XWk5tA8vhNHXM1r,5HGarHo494tntgpXc1PmzkeusDMJnuDZU2e9dd4qadw6cN8h,0.056800123,0.0043183034,0.9941558,0.0042877854,0.0043183034,0.0,0.007891283,0.0
28,5HEr8cEozTju29GDK4F6Ra1P36bryN8sWjs8BCUM72PxSn51,5CXhyqHtU8yD2kBUAAaqY6M8HdCKAac6YA1xV75yHXCLj85V,2.1936545,0.0043183034,0.99386585,0.004333562,0.0043183034,0.0,0.007915547,0.0
29,5FvqyRgQdVUu4woFJHRGYVALNVYyGYcCuXvykjG8c9yYGzsF,5Fvjp2r23eRUbKgRPpSgq38fjDkti2oAEp5EkWmrzaa73DiW,0.0,0.0033875029,0.9685817,0.003418021,0.0033875029,0.0,0.006207818,0.0
30,5CLzdYon4YH1NVWicvYA8zwPtoWGR3w3w41j3jtGPpv5jJt4,5FZExVUv6gkTkguSonNZBgexTLmbS4ChrAkpxJFaVQTDrvjE,0.28573638,0.0042572673,0.9925536,0.0042572673,0.0042572673,0.0,0.007802732,0.0
31,5Dsr2QTthw1zSi3aGpW75G4bgjaVgJZvVDtkcxw9wTxJ81k3,5ELhXtQF9Q9qFqawVzdn7rgikFT52U7g3nFU6Yx5kBMwXyfk,0.50966924,0.0043488215,0.9951934,0.0043488215,0.0043488215,0.0,0.007949172,0.0
32,5EhrhWRr43b2Qs2DvHyecyuWVXdkRtTRPhitt6CgWTkFgTUK,5GNzBcNQuRhXcBdcimxvUPTKC7T3sac3EtdhKhh4ZtGjTvz5,0.9954288,0.0043640803,0.994934,0.0043640803,0.0043640803,0.0,0.007993318,0.0
33,5F3nHUqXb8iJEMZCDcMg95wuWLYRh5BsCYzDicLssYHUTZe5,5CA6FDP8jU9cYPaL7kMxsDKbXiEEJcED2fuoM4mD9JxfGCV4,0.36883682,0.0043183034,0.9949035,0.004303044,0.0043183034,0.0,0.007908749,0.0
34,5Fpz8tdXzGgVp5eTQzmsL354UvNeeRvUFULTLu7fVc3dh5F6,5ELhXtQF9Q9qFqawVzdn7rgikFT52U7g3nFU6Yx5kBMwXyfk,0.50264096,0.004333562,0.99838257,0.0043640803,0.004333562,0.0,0.007937682,0.0
35,5HTnhFRhTVP48fSqXtJuj9tqyDU7VZzREZHM2vej9bTcPGAQ,5HBUPzCAA4QutqgGFYg1odoVswkv73PvX94m3syqbtGauLJe,0.00474958,0.0031586175,0.9753262,0.0032043946,0.0031586175,0.0,0.005792506,0.0
36,5GBi8XZZTiYD5sxbxdhedUgBozcUbJNYckB6M1XUi4CQihJK,5ELhXtQF9Q9qFqawVzdn7rgikFT52U7g3nFU6Yx5kBMwXyfk,0.49782237,0.0043945983,0.995346,0.0043793395,0.0043945983,0.0,0.008033179,0.0
37,5FUHqDDzi1zfuHnXNwRCotNsXmD7uvTce2TuxrySRbyCCLmC,5DMFDnedshqaswf7JfAGWBTyPVAu4vagg9v1hAgchSu6TkEB,0.33393568,0.0043793395,0.9984894,0.0044251163,0.0043793395,0.0,0.008023928,0.0
38,5DkFci6Zy37CeZb6TZXUMpR8HRUsLM2aJb76rjMVxUu4UGRv,5FqWmo1Kjw2MLz55BpgxyEkbsCv2SMNhBbzwc2Ueyk2PvvSX,0.040897857,0.0043640803,0.99465936,0.0043488215,0.0043640803,0.0,0.007980802,0.0
39,5HE7pN48yfn7eL6kNFu9Ho4GgnpZo2mvj9gEEU3YiRLbp5AV,5HGarHo494tntgpXc1PmzkeusDMJnuDZU2e9dd4qadw6cN8h,0.025779355,0.004303044,0.99259937,0.004272526,0.004303044,0.0,0.007870653,0.0
40,5GrjRg4p3oRc8i7ZYeQV8RAqKnftc74nWsyrcDiaKpVQJxQq,5CoPDt8FgM1dVgUYwrMk1DJ7Ntx5hwHugakEzz8chYx3Vroj,0.26335785,0.004333562,0.99755853,0.0043183034,0.004333562,0.0,0.007928299,0.0
41,5GKH9FPPnWSUoeeTJp19wVtd84XqFW4pyK2ijV2GsFbhTrP1,5GcCZ2BPXBjgG88tXJCEtkbdg2hNrPbL4EFfbiVRvBZdSQDC,1198862.6,0.0,0.0,0.0,0.0,0.20604257,0.376484,0.9966888
42,5GnFfxigBy1zWdm8XXCZ85ySL4LCyfWvEgVLz2TPDmRBjgDW,5FZnHNmfL6yXWKY3XAUrNM99sTzut65tV6V1jYE1qDZE9ixS,1.7570496,0.0042877854,0.99551386,0.004272526,0.0042877854,0.0,0.00784483,0.0
43,5E6vnKnXGNRrftk6yhb8T7hj88Czydh35EMABGyjKcLK8ztc,5ELhXtQF9Q9qFqawVzdn7rgikFT52U7g3nFU6Yx5kBMwXyfk,0.34572268,0.004333562,0.9967193,0.0043183034,0.004333562,0.0,0.007924465,0.0
44,5ECUXWoNYdTa68eVeBZUc61NhPFp39eEV7NJZbJ2Ge54vzja,5Fvjp2r23eRUbKgRPpSgq38fjDkti2oAEp5EkWmrzaa73DiW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,5HC5xnPtgMxFHQ9t2smmSGT86gsGvCGWbbiFiytydPba5yAM,5ELhXtQF9Q9qFqawVzdn7rgikFT52U7g3nFU6Yx5kBMwXyfk,0.34225917,0.0043488215,0.99732965,0.004333562,0.0043488215,0.0,0.007950416,0.0
46,5GmrPLVi1ybj3oy5iH6ek2LeRjFT3RVT3pCzfSufHgxqA8jN,5FqWmo1Kjw2MLz55BpgxyEkbsCv2SMNhBbzwc2Ueyk2PvvSX,0.14773223,0.004592966,0.99179065,0.004592966,0.004592966,0.0,0.008412732,0.0
47,5CkiBt1qqQdd2gBcvjbbYSfPL9VVuBZYz9tspXaqj9H1zdBe,5ELhXtQF9Q9qFqawVzdn7rgikFT52U7g3nFU6Yx5kBMwXyfk,0.3413606,0.0044251163,0.9971923,0.0044098576,0.0044251163,0.0,0.008088536,0.0
48,5CcUCNcUY2VdSYRjK9PSGEv7bEqyCmSkortZGHEy3mPBZgo9,5GNzBcNQuRhXcBdcimxvUPTKC7T3sac3EtdhKhh4ZtGjTvz5,0.2607764,0.004333562,0.9945068,0.0043183034,0.004333562,0.0,0.007930921,0.0
49,5C53Scc7V3zXFnAJsyDMJ52D7RSnQ8r5tqoUSLkEQJZxKNiH,5ELhXtQF9Q9qFqawVzdn7rgikFT52U7g3nFU6Yx5kBMwXyfk,0.5094591,0.0044556344,0.99795526,0.0044403756,0.0044556344,0.0,0.008158072,0.0
50,5EZ1Rsy1rVBD8Kqh5czfrPeogNY6mbZ4zauNNKnH7YdWZ3eJ,5EuvtS4CRSTET8iPar1PN4dERcZSqf9uUzM3KzzxaBKWZb5C,0.8099644,0.004272526,0.9921111,0.0042572673,0.004272526,0.0,0.007832674,0.0
51,5DZqTEh5przqeiJA1ZPxsHz5QaiHUR7TpgaGpUj5ZXaaUXLf,5CA6FDP8jU9cYPaL7kMxsDKbXiEEJcED2fuoM4mD9JxfGCV4,0.71893466,0.0042572673,0.9940795,0.0042572673,0.0042572673,0.0,0.007804474,0.0
52,5HEo565WAy4Dbq3Sv271SAi7syBSofyfhhwRNjFNSM2gP9M2,5E9fVY1jexCNVMjd2rdBsAxeamFGEMfzHcyTn2fHgdHeYc5p,532629.1,0.0,0.0,0.0,0.0,0.09137102,0.16697219,0.99275196
53,5G16Sphd6qgCxUBvoF6S1GDyPH8hRoZBUdmmLhYP3QjkQkTY,5HEXchqTuy7VAxQn9Kk34D5uzaxzyuwhhTPQmwVUy6u5hnf5,3.2871118,0.0043183034,0.99220264,0.004303044,0.0043183034,0.0,0.007912087,0.0
54,5Dfo5FVpYuCXnuoa31rj2YAfuW5H5fadVtq7fXYmJWeZmoW9,5HGarHo494tntgpXc1PmzkeusDMJnuDZU2e9dd4qadw6cN8h,0.095215224,0.0042877854,0.9956054,0.004303044,0.0042877854,0.0,0.007861615,0.0
55,5CsvRJXuR955WojnGMdok1hbhffZyB4N5ocrv82f3p5A2zVp,5EJAqczgzCMvWcmXhKMZH4vMS5gPy8BjeuHjz5o5yN6RYzX2,49076.902,0.0,0.0,0.0,0.0,0.008743419,0.015986005,0.9995575
56,5FqeoUoTP7z6xnkgiBt4FbQGchi6HxsquUyKkiFgcjYdGNYJ,5HpyoAo2L4MkaRZkB6UyiW9jJc2Zw53sVK2K19PVEVnjpuVV,0.0,0.0044251163,0.99803156,0.0044403756,0.0044251163,0.0,0.008098995,0.0
57,5CcLNKZ5GA3VtQEp6xHQaSJnkgjqxEKG7aiD7SzVjPaNiatC,5FZCEFxKko22mrJLFMbU6DFaYSBGieytdkGmWSdzTiPiaY7r,1.0813707,0.004333562,0.99473566,0.004333562,0.004333562,0.0,0.007921832,0.0
58,5F1rnhvUjyDJwnjPFbL8XDGrdvhCawKuRGa5evgka8VYtDXU,5CoPDt8FgM1dVgUYwrMk1DJ7Ntx5hwHugakEzz8chYx3Vroj,0.95977664,0.004303044,0.99652094,0.0043183034,0.004303044,0.0,0.007889453,0.0
59,5GLSqnBTUcNoGVt1pqTo88DXbnEJxADnDGjLQo8WjUwToxK1,5CPewnRw2wCAtHxFJh3S4hjvxJ8J2Bum9WEdcz7AhBHJPpgx,0.0,0.0019836728,0.92503244,0.0022125582,0.0019836728,0.0,0.00364638,0.0
60,5FbYska4VpJvkHyNFoahxtC3scZkwcjLyuGsd5ES74DDcGi6,5GU7eRmymu24qW3kL8AptiCNR1mapgacu33TjvvXK7DtVMDj,1.7438682,0.0043793395,0.9954528,0.0043640803,0.0043793395,0.0,0.008004895,0.0
61,5DSHuhyH8F5qLJy6Ap7y11RD9nurfFrB6yxjntG6Loqk8hyE,5CoPDt8FgM1dVgUYwrMk1DJ7Ntx5hwHugakEzz8chYx3Vroj,0.84636754,0.0042877854,0.99465936,0.0042877854,0.0042877854,0.0,0.007837026,0.0
62,5HbLYXUBy1snPR8nfioQ7GoA9x76EELzEq9j7F32vWUQHm1x,5DSsZGwBuYHRDA7HzdZUVBhKKpZpJKcf7rTd9y5Gz1SQyo9V,192938.86,0.0,0.0,0.0,0.0,0.03303578,0.06036792,0.99082935
