UID,HOTKEY,COLDKEY,STAKE(τ),RANK,TRUST,CONSENSUS,INCENTIVE,DIVIDENDS,EMISSION(ρ),VTRUST
0,5GKUjtMnugwVaywWJfAcVDgia5RPEU5TMrunTz3CyXFcUo8E,5FhEG1YnBaeko964vMhmdhVcv71CPW7VRkZBpJJtrafcWt9b,0.012876102,0.0045471885,0.98124665,0.0045166705,0.0045471885,0.0,0.000293061,0.0
1,5EPCmSc7rViuKCu8X2XeNREk6q3LoT3MxxRHxD9mLEXhTR1e,5HQc3J7DoFAo54Luhh39TFmnvKQcXGfW2btQiG8VzJyUc1fj,0.005479038,0.004654002,0.97767603,0.0046692607,0.004654002,0.0,0.000300258,0.0
2,5FYsnCCHDkcFqUYEiHQsihhv13ndGn74fYfwX3FdPV1P8jSn,5HQc3J7DoFAo54Luhh39TFmnvKQcXGfW2btQiG8VzJyUc1fj,0.17214495,0.004074159,0.96438545,0.004074159,0.004074159,0.0,0.000263159,0.0
3,5FrzXqkwBWsF4jzsWRJM9o1ie4jvGsRW2XiKtLXpi3MxtRH9,5FphQgyahkPR3R9eJvazq2D2dfEXQgmqDMwT8aBssArSFKYD,0.09024262,0.0039063096,0.9248951,0.0036163882,0.0039063096,0.0,0.000252396,0.0
4,5FjsePCFkCe4TNmAbWpr9yNTpaSmKj2GEMqkR1qEan3uHFad,5FphQgyahkPR3R9eJvazq2D2dfEXQgmqDMwT8aBssArSFKYD,0.7052494,0.0043945983,0.9461051,0.0042267493,0.0043945983,0.0,0.00028406,0.0
5,5C5peZsDnWrQUfqZFXz5yx1bgXiEYNfTBtF3YWJwLvk9FELR,5FphQgyahkPR3R9eJvazq2D2dfEXQgmqDMwT8aBssArSFKYD,0.55793136,0.0036163882,0.9426413,0.0036316472,0.0036163882,0.0,0.00023383,0.0
6,5EHKZmZzN1GamQCRMgauZogrmJPNogvhLMUTNBxBySTvtZnu,5CPEiar6R1ecihv4Gu9ozojLRCeGUnGUcfuYyJm3qnhRsN35,0.020276507,0.0058289464,0.925185,0.005554284,0.0058289464,0.0,0.000376592,0.0
7,5FFApaS75bv5pJHfAp2FVLBj9ZaXuFDjEypsaBNc1wCfe52v,5GZSAgaVGQqegjhEkxpJjpSVLVmNnE2vx2PFLzr7kBBMKpGQ,475569.06,1.5259022e-05,0.08038453,3.0518044e-05,1.5259022e-05,0.13313496,0.008582339,0.88052183
8,5CdQ2JNXaoxahNKv6DjbnZMzicRLaouj8pypZobh14xns4gz,5G9nj4yM2FWjMUdpuVhmJEGHgqYMeRiFRvvWmzJ2MpbbgESL,0.0,0.0046082246,0.95317006,0.004715038,0.0046082246,0.0,0.000297878,0.0
9,5GjjxAawjhm5TAS12C4oqHs2EBRtCqWukZtx8cxY5SgYh6oz,5DvE2p4dphf6957yNbG6D7PLf3DyD1x13GG2f2sw1G684MFA,0.04380174,0.004943923,0.96578926,0.005035477,0.004943923,0.0,0.000319544,0.0
