UID,HOTKEY,COLDKEY,STAKE(τ),RANK,TRUST,CONSENSUS,INCENTIVE,DIVIDENDS,EMISSION(ρ),VTRUST
0,5GKH9FPPnWSUoeeTJp19wVtd84XqFW4pyK2ijV2GsFbhTrP1,5GcCZ2BPXBjgG88tXJCEtkbdg2hNrPbL4EFfbiVRvBZdSQDC,1198859.5,0.0,0.0,0.0,0.0,0.21150531,0.23135506,0.9952087
1,5CmLozhnjZTEUZi3kbG7onbGKESfXYat5pS4jgWDib66AtNf,5EsbQTJKKCLJwmNnpdSxTKm1WJ4iv3xNcn5U3HadUV1RpRbR,0.0,0.004333562,0.9878233,0.0043640803,0.004333562,0.0,0.00475413,0.0
2,5HK5tp6t2S59DywmHRWPBVJeJ86T61KjurYqeooqj8sREpeN,5CAwB3dSiMC5jJfpvVU47zT3Gyz5ZDoiyHMaYZUuNs5hFh2P,322589.44,0.0,0.0,0.0,0.0,0.05597009,0.061233502,0.9729
3,5DfkkxuVyESKB9kGbqhkqUVJbPs4tjjAWhpowtqXg1yGxwTY,5ERPifjRduxrDfuyZA2jGxGqMAyrVkQmgAZmCj1mvsa2woLX,0.0,0.0042267493,0.9686732,0.004180972,0.0042267493,0.0,0.004629608,0.0
4,5DvTpiniW9s3APmHRYn8FroUWyfnLtrsid5Mtn5EwMXHN2ed,5G1KeLg1rda5kBZ9pWVnpAe3y4RwRRphcVxuY5mukLFStJhj,199057.6,0.0,0.0,0.0,0.0,0.028000304,0.030638717,0.96397346
5,5EhvL1FVkQPpMjZX4MAADcW42i3xPSF1KiCpuaxTYVr28sux,5HJvTnicbUEyKHE8pu3tWVhECRiqgDmxKE3AcG4H4djeyRK8,250435.8,0.0,0.0,0.0,0.0,0.043610286,0.04770866,0.97869843
6,5GKNk2oerdDaNtTEf4qceDLYkt9Vc83UXkACqtQAYuV1HEsA,5Ct4vNZhvPChHpSWigB1ndq4sL4YFKeFAGDHEAtQ66f2GLHC,0.4941161,0.0038910506,0.977142,0.003952087,0.0038910506,0.0,0.004268133,0.65174335
7,5G7JgaCUrVJjvRwpgoYeyoQT9eUePvCezstfr5KbjjcjLD9v,5EsbQTJKKCLJwmNnpdSxTKm1WJ4iv3xNcn5U3HadUV1RpRbR,0.09756572,0.0043183034,0.99363697,0.004272526,0.0043183034,0.0,0.004724754,0.0
8,5HGingB3V9LrEjBx6iPraEviwYMfU52NWzigrmSGeW6QVvg5,5GruVHzgPaMKN47tNVwUN4UnPfvKdgFtYkZJhyoqJGN2vn1f,0.20032677,0.0045014117,0.98673993,0.0045319297,0.0045014117,0.0,0.004931603,0.0
9,5C5xaAjA5e1gFELPcn4qPxsWDbB2FfoyKSdUFFc273emCizT,5ERPifjRduxrDfuyZA2jGxGqMAyrVkQmgAZmCj1mvsa2woLX,0.0,0.0042572673,0.9728847,0.0041962313,0.0042572673,0.0,0.004664485,0.0
