UID,HOTKEY,COLDKEY,STAKE(τ),RANK,TRUST,CONSENSUS,INCENTIVE,DIVIDENDS,EMISSION(ρ),VTRUST
0,5FKvM1GvMgNG6oStuC8Eu5wHgirwmGY2rfnUBC9HPTyxFgqy,5GQYs5RXZjjnhbcq4rzrVXEEhxY5gDiAtuim4duuWaHCuMAy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5CccVtjk4yamCao6QYgEg7jc8vktdj16RbLKNUftHfEsjuJS,5Cswf3EaUmuY8ZMLavdp4xzYWfiZYoeko6jFc8yDYjbi8QGu,0.096328534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5HYwoXaczs3jAptbb5mk4aUCkgZqeNcNzJKxSec97GwasfLy,5Ckdf414oL5hJKX9v6aLyUvVvoWnWLdY3s155vXaJ7yRrZ5a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5Dnb6edh9yTeEp5aasRPZVPRAkxvQ6qnERVcXw22awMZ5rxm,5Ckdf414oL5hJKX9v6aLyUvVvoWnWLdY3s155vXaJ7yRrZ5a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5FRfca8NbnH424WaX43PMhKBnbLA1bZpRRoXXiVs6HgsxN4K,5GQYs5RXZjjnhbcq4rzrVXEEhxY5gDiAtuim4duuWaHCuMAy,0.014146904,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5GEG7Cw7KnCfHcXgf33n4ufLf3augcadV7F4b8rtzN2H28eJ,5Fh8SFDP4XVYQmedQJo8Cv6q6dqXLdFPnFoBfKfKsbXh46QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5EXJEigEPPkcm5anreBQHpGbmSxeR2AEvdjGo1YrGi12hg5R,5CG8WgMrbcYjSijfwk6yms7j7qeaGeUAsNJaVytYaE71rJni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5CDjytwc5547XHsCmdQyrkJZKdwWW1zypPVA8CpBh69abCT5,5F9B2kUbSoG9MFoPwjaJtgSZfEnQcePGt7TeYHnCrd4YV85Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5GVjcJLQboN5NcQoP4x8oqovjAiEizdscoocWo9HBYYmPdR3,5CS96ckqKnd2snQ4rQKAvUpMh2pikRmCHb4H7TDzEt2AM9ZB,3.4313943,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,5GpgByeULPsp4fzGEPmfPsSeUfordkLd8AqhKbHrFcZp8vUp,5HQkkXupDMsWhiCmH7oHWnDWopqD9BRWbtGk2kYRXgZDxs8K,8.368543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,5CLrkJJdnzxKFyQKpwUYwsBpMbjCeqBN4JSaMhMeiadRB1fy,5Fh8SFDP4XVYQmedQJo8Cv6q6dqXLdFPnFoBfKfKsbXh46QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,5G8w2G2PksN7e2ig9eHd9CyNgM5RDqFZJcmhDLY1tp69tYsp,5FCZ8g13LsRdASt3rfwEfQZ9iDkDDhoUvScCSFRqocss2ukP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,5CiBrQTRWUzGnmTPJu8GAAe64QBwvxZ6ryn6xtKJr23xMhvR,5GQYs5RXZjjnhbcq4rzrVXEEhxY5gDiAtuim4duuWaHCuMAy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,5CDR6tzMgFvA7FTQgbUespBXTGuUzNJxvGdWrm11X29GWhYK,5HoppBQseigVgbMnaxPNijGRk9xxJgHxg3JfSyM73dc5LwT9,0.14058463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,5CtiRGDohC2mFrWedu5V7c9hLwFgZxnUCVYj8yUbYBYLvGep,5Ckdf414oL5hJKX9v6aLyUvVvoWnWLdY3s155vXaJ7yRrZ5a,0.82088816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,5FnBE6sRorcN2ZiaHfNbz9AiVmrAWxVSfw6p5TtynSpvuRZR,5GQYs5RXZjjnhbcq4rzrVXEEhxY5gDiAtuim4duuWaHCuMAy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5HEPA9573XFzp96CLbUp4hNpEUnMHKwuENgov21v89d4ZdTB,5Ckdf414oL5hJKX9v6aLyUvVvoWnWLdY3s155vXaJ7yRrZ5a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5DwKP5bD6gYeMZHQQMtrE3RdFhJDdrhbmuBzEZhrTYjUKnAg,5Ckdf414oL5hJKX9v6aLyUvVvoWnWLdY3s155vXaJ7yRrZ5a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5Hmg1YgH49sPrZvLjPohn7UjuWxYDRAZui6XXRDRV4CZCHEF,5GQYs5RXZjjnhbcq4rzrVXEEhxY5gDiAtuim4duuWaHCuMAy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,5CszDPHAcbGhNb3pnE1SjGTsYjcu7eiBuf7D6CtbhJMb7X1n,5Fh8SFDP4XVYQmedQJo8Cv6q6dqXLdFPnFoBfKfKsbXh46QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,5DvmQXe9MwRL8hpLR3is5cfqc2aV58GN3g5bsYo2XaiWDZgy,5GQYs5RXZjjnhbcq4rzrVXEEhxY5gDiAtuim4duuWaHCuMAy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,5FPNg9DNVMZ8rP5tBGwNN3AYeqmchQyWQANKX8LaL9YHn8L3,5D2tdgmNFQGJkpsTQWEpuYv8oAgKob9qsEHhGSdcsFZyajrT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,5F1hGzpHm9iD6k7xJDSdou6MZkssGEmbZ7AdvyGRy5N694Aj,5D2tdgmNFQGJkpsTQWEpuYv8oAgKob9qsEHhGSdcsFZyajrT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,5H6KTbacGv8CKkcGK2AmHEVc1VZi1BxFsigevgrrBHWtuNh2,5GQYs5RXZjjnhbcq4rzrVXEEhxY5gDiAtuim4duuWaHCuMAy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
